Sender/Receiver,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
10,0.85,INF,2.78,INF,INF,3.09,3.47,INF,2.65,INF,,INF,1.52,INF,INF,INF,1.32,1.07,4.17,INF,1.68,INF,INF,INF,INF,INF,INF,INF,1.89,INF,INF,INF,INF,0.85,INF,INF,INF,INF,INF,1.54,INF,INF,INF,INF,INF,0.80,INF,2.08,INF,INF
11,INF,INF,INF,4.17,INF,2.78,0.95,INF,INF,INF,INF,,INF,2.78,INF,1.26,8.33,INF,INF,INF,INF,INF,4.17,INF,10.42,INF,INF,INF,INF,2.31,INF,INF,INF,INF,INF,INF,INF,INF,INF,2.60,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
12,0.80,INF,1.08,INF,INF,INF,INF,INF,0.80,INF,1.26,INF,,INF,INF,INF,INF,1.01,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.74,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.74,INF,0.54,INF,INF
13,INF,INF,INF,1.08,5.56,16.67,12.82,INF,INF,INF,INF,1.67,INF,,INF,0.54,INF,INF,INF,2.31,INF,INF,3.33,INF,1.32,INF,INF,INF,INF,0.49,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,2.53,INF,INF,INF,3.47,INF
14,INF,0.92,INF,INF,INF,INF,INF,INF,INF,2.98,INF,INF,INF,INF,,INF,INF,INF,6.17,INF,INF,INF,INF,INF,INF,INF,INF,INF,6.94,INF,INF,0.54,INF,INF,1.67,INF,0.92,0.74,INF,INF,0.74,INF,0.49,0.49,INF,INF,INF,INF,INF,0.99
15,INF,INF,INF,1.83,6.94,5.56,2.56,INF,INF,INF,INF,0.93,INF,0.51,INF,,INF,INF,INF,3.79,INF,INF,4.17,INF,1.17,INF,INF,INF,INF,0.49,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,4.17,INF,INF,INF,5.95,INF
16,INF,INF,INF,INF,INF,0.74,0.66,INF,INF,INF,1.54,4.17,INF,INF,INF,INF,,INF,1.74,INF,0.69,2.31,1.67,0.99,INF,6.94,0.70,INF,2.31,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.44,INF,1.67,INF,INF,INF,5.21,INF,INF,INF,INF
17,1.17,INF,INF,INF,INF,INF,INF,INF,1.54,INF,0.93,INF,0.95,INF,INF,INF,INF,,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.52,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,1.11,INF,0.49,INF,INF
18,INF,1.17,2.38,INF,INF,4.17,6.67,INF,5.95,1.89,5.21,INF,INF,INF,11.11,INF,1.60,INF,,INF,0.61,4.63,INF,3.97,INF,INF,1.52,INF,0.42,INF,INF,INF,INF,INF,13.89,INF,INF,0.85,INF,6.67,9.26,5.56,INF,4.17,INF,6.67,INF,INF,INF,INF
19,INF,INF,INF,0.52,0.54,INF,INF,INF,INF,INF,INF,INF,INF,3.09,INF,5.21,INF,INF,INF,,INF,2.65,2.06,2.08,1.17,2.38,INF,INF,INF,2.08,2.16,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.46,INF,INF,INF,0.65,INF
20,2.65,6.94,2.65,INF,INF,2.08,3.97,INF,5.21,2.78,1.85,INF,INF,INF,INF,INF,0.65,INF,0.58,INF,,INF,INF,3.47,INF,INF,2.16,INF,0.77,INF,INF,INF,INF,4.17,INF,INF,INF,4.76,INF,0.85,INF,5.56,INF,INF,INF,2.16,INF,INF,INF,INF
21,INF,INF,INF,13.89,4.76,5.95,6.94,2.60,INF,INF,INF,INF,INF,INF,INF,INF,3.09,INF,3.97,3.97,INF,,8.33,0.92,INF,0.58,0.52,8.33,INF,INF,0.70,INF,5.21,INF,INF,INF,INF,INF,INF,6.67,INF,0.49,INF,INF,2.98,INF,INF,INF,3.47,INF
22,INF,INF,INF,1.38,3.09,0.80,0.77,INF,INF,INF,INF,2.60,INF,3.70,INF,4.63,1.39,INF,INF,1.68,INF,3.33,,0.52,1.85,2.98,1.52,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,2.08,INF,3.09,INF,INF,2.06,INF,INF,INF,2.65,INF
23,INF,INF,INF,2.78,3.47,1.17,1.11,INF,INF,INF,INF,INF,INF,INF,INF,INF,1.26,INF,4.76,4.17,4.63,1.17,0.70,,11.11,1.26,0.66,INF,INF,INF,1.98,INF,INF,INF,INF,INF,INF,INF,INF,1.85,INF,0.99,INF,INF,3.09,INF,INF,INF,3.40,INF
24,INF,INF,INF,0.62,1.07,8.33,4.27,INF,INF,INF,INF,5.21,INF,0.99,INF,1.07,INF,INF,INF,0.85,INF,INF,1.68,3.33,,9.26,INF,INF,INF,1.39,INF,INF,INF,INF,INF,INF,INF,INF,INF,13.89,INF,INF,INF,INF,0.79,INF,INF,INF,0.85,INF
25,INF,INF,INF,6.94,3.33,6.94,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,20.83,INF,INF,4.17,INF,0.65,7.94,1.08,55.56,,1.49,4.63,INF,INF,0.75,INF,3.47,INF,INF,INF,INF,INF,4.17,INF,INF,0.75,INF,INF,3.03,INF,INF,INF,4.76,INF
26,INF,5.95,INF,INF,INF,1.39,1.85,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.74,INF,1.67,INF,2.38,0.54,1.67,0.58,INF,1.32,,INF,3.47,INF,1.26,INF,INF,INF,INF,INF,INF,INF,INF,1.07,INF,0.52,INF,INF,INF,INF,INF,INF,INF,INF
27,INF,INF,INF,INF,INF,INF,INF,0.93,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,3.03,INF,INF,INF,2.31,INF,,INF,INF,0.98,INF,0.65,INF,INF,INF,INF,INF,0.42,INF,INF,INF,INF,INF,INF,INF,0.61,INF,INF,INF
28,3.97,2.31,1.28,INF,INF,INF,INF,INF,4.17,0.89,2.98,INF,INF,INF,27.78,INF,2.65,INF,0.49,INF,0.93,INF,INF,INF,INF,INF,4.17,INF,,INF,INF,INF,INF,6.67,6.94,INF,INF,1.38,INF,20.83,8.33,INF,INF,INF,INF,3.09,INF,INF,INF,INF
29,INF,INF,INF,1.39,3.47,INF,INF,INF,INF,INF,INF,1.39,INF,0.46,INF,0.51,INF,INF,INF,1.60,INF,INF,INF,INF,1.54,INF,INF,INF,INF,,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,2.08,INF,INF,INF,2.08,INF
30,INF,INF,INF,INF,2.08,INF,INF,0.87,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,2.38,INF,0.61,INF,1.39,INF,0.61,1.07,1.28,INF,INF,,INF,1.16,INF,INF,1.54,INF,INF,1.30,INF,INF,0.58,INF,INF,1.89,INF,1.30,INF,2.78,INF
31,INF,1.85,INF,INF,INF,INF,INF,INF,INF,1.85,INF,INF,INF,INF,0.62,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,,INF,INF,1.16,INF,0.61,0.92,INF,INF,0.99,INF,0.44,0.58,INF,INF,INF,INF,INF,0.65
32,INF,INF,INF,INF,INF,INF,INF,3.03,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,3.79,INF,INF,INF,2.31,INF,0.58,INF,INF,1.03,INF,,INF,INF,INF,INF,INF,0.54,INF,INF,INF,INF,INF,INF,INF,0.85,INF,INF,INF
33,0.85,INF,1.74,INF,INF,INF,INF,INF,0.99,INF,0.79,INF,0.80,INF,INF,INF,INF,0.58,INF,INF,3.33,INF,INF,INF,INF,INF,INF,INF,3.03,INF,INF,INF,INF,,INF,INF,INF,INF,INF,6.94,INF,INF,INF,INF,INF,0.69,INF,0.58,INF,INF
34,INF,4.76,0.71,INF,INF,INF,INF,INF,3.09,0.67,INF,INF,INF,INF,2.38,INF,INF,INF,10.42,INF,INF,INF,INF,INF,INF,INF,INF,INF,4.63,INF,INF,1.39,INF,INF,,INF,1.68,1.68,INF,INF,2.31,INF,1.38,1.83,INF,INF,INF,INF,INF,1.38
35,INF,5.56,INF,INF,INF,INF,INF,0.52,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,2.31,INF,INF,INF,INF,,INF,INF,INF,INF,INF,INF,INF,2.38,INF,INF,0.51,INF,INF,INF
36,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,1.08,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.58,INF,INF,1.42,INF,,3.97,INF,INF,1.68,INF,0.65,0.82,INF,INF,INF,INF,INF,0.49
37,INF,0.65,2.16,INF,INF,INF,INF,INF,INF,0.80,INF,INF,INF,INF,1.08,INF,INF,INF,0.99,INF,6.67,INF,INF,INF,INF,INF,INF,INF,1.17,INF,INF,1.17,INF,INF,2.06,INF,11.11,,INF,INF,0.74,INF,0.85,0.70,INF,INF,INF,INF,INF,INF
38,INF,INF,INF,INF,INF,INF,INF,1.39,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,3.03,INF,0.46,INF,INF,1.49,INF,0.65,INF,INF,INF,INF,INF,,INF,INF,INF,INF,INF,INF,INF,0.58,INF,INF,INF
39,INF,INF,INF,INF,INF,0.74,0.58,INF,INF,INF,1.68,2.08,INF,INF,INF,INF,0.42,INF,4.76,INF,0.79,4.76,2.38,1.32,41.67,INF,0.93,INF,6.94,INF,INF,INF,INF,8.33,INF,INF,INF,INF,INF,,INF,2.65,INF,INF,INF,6.94,INF,INF,INF,INF
40,INF,0.69,3.47,INF,INF,INF,INF,INF,INF,1.11,INF,INF,INF,INF,0.80,INF,INF,INF,5.56,INF,INF,INF,INF,INF,INF,INF,INF,INF,3.79,INF,INF,0.85,INF,INF,1.85,INF,1.52,0.55,INF,INF,,INF,0.66,0.89,INF,INF,INF,INF,INF,1.67
41,INF,INF,INF,INF,3.97,2.98,3.47,2.98,INF,INF,INF,INF,INF,INF,INF,INF,1.85,INF,4.76,INF,8.33,0.46,4.63,0.85,INF,0.65,0.46,INF,INF,INF,0.70,INF,INF,INF,INF,INF,INF,INF,INF,3.40,INF,,INF,INF,3.97,INF,INF,INF,4.17,INF
42,INF,1.39,INF,INF,INF,INF,INF,INF,INF,2.78,INF,INF,INF,INF,0.58,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.49,INF,INF,1.52,INF,0.74,0.74,INF,INF,0.79,INF,,0.52,INF,INF,INF,INF,INF,0.85
43,INF,0.85,INF,INF,INF,INF,INF,INF,INF,2.16,INF,INF,INF,INF,0.58,INF,INF,INF,2.98,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.65,INF,INF,1.98,1.85,0.93,0.61,INF,INF,1.08,INF,0.49,,INF,INF,INF,INF,INF,1.19
44,INF,INF,INF,0.64,0.58,4.63,INF,INF,INF,INF,INF,INF,INF,3.47,INF,5.95,INF,INF,INF,0.49,INF,2.31,2.31,2.06,0.92,2.16,INF,INF,INF,2.98,2.16,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,3.09,INF,INF,,INF,INF,INF,0.54,INF
45,0.46,INF,1.19,INF,INF,INF,INF,INF,0.58,2.53,0.74,INF,0.85,INF,INF,INF,4.63,1.28,5.56,INF,1.98,INF,INF,INF,INF,INF,INF,INF,2.31,INF,INF,INF,INF,0.74,INF,INF,INF,INF,INF,13.89,INF,INF,INF,INF,INF,,INF,1.68,INF,INF
46,INF,INF,INF,INF,INF,INF,INF,0.54,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.75,INF,INF,1.74,INF,1.11,INF,INF,0.46,INF,INF,0.62,INF,INF,INF,INF,INF,INF,INF,,INF,INF,INF
47,0.92,INF,INF,INF,INF,INF,INF,INF,INF,INF,1.60,INF,0.52,INF,INF,INF,INF,0.46,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.52,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,1.32,INF,,INF,INF
48,INF,INF,INF,0.60,0.71,4.63,INF,INF,INF,INF,INF,INF,INF,5.56,INF,8.33,INF,INF,INF,0.62,INF,2.78,3.09,2.38,1.08,3.40,INF,INF,INF,3.47,3.33,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,3.70,INF,INF,0.51,INF,INF,INF,,INF
49,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,1.17,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.58,INF,INF,1.17,INF,0.46,INF,INF,INF,2.08,INF,0.70,0.98,INF,INF,INF,INF,INF,
